,195,,,,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,HITO 1,,,HITO 2,,,HITO 3,,,HITO 4,,,HITO 5,,,HITO 6,,,HITO 7,,,HITO 8,,,HITO 9,,,Medio Verificación 1,,,,,,Medio_verificacion_2,,,,,Medio Verificación 3,,,,,Medio_verificacion_4,,,,,Medio_verificacion_5,,,,,Medio Verificación 6,,,,,,,Medio Verificación 7,,,,,,
DAC,DAC-9,BRA,Implementación de software para dar soporte al repositorio institucional de Biblioteca (2021),Mantener el ecosistema de aplicaciones asociadas a Biblioteca y al proyecto repositorio institucional junto con la evaluación de integración entre los mismos aplicativos y la implementación de nuevos.,Desarrollo, $- ,,Actualizar versión del software de Biblioteca Koha,Actualización realizada,Actualización de software,1,Información de versión actual,,,,,Implementar aplicativos PKP,"Softwares implementados• Revistas electrónicas OJS• Monografías (libros electrónicos) OMP• Preprints• Conferencias o seminarios• Cosecha""",(Softwares a implementar/softwares implementados)*100,100%,url de cada software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actualizado Software de gestión de Bibliotecas Koha,Software actualizado y en producción,jun-22,Implementada suite PKP,Software de gestión:• Revistas electrónicas OJS• Monografías (libros electrónicos) OMP• Preprints• Conferencias o seminarios• Cosecha,dic-22,,,,,,,,,,,,,,,,,,,,,,Softwares en funcionamiento,Debe contener información asociada al proceso de instalación ,Incorpora reportes de marcha blanca ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-1,DP,Coordinar y ejecutar el proceso del plan anual de contratación,"Gestionar todas las acciones conducentes a completar de forma eficiente los procesos de contratación del personal, en sus distintas calidades y requerimientos específicos, acorde al marco legal vigente.",Misional," $4,824,000 ",,Apoyar la generación y/o provisión de cargos y/o contrataciones del personal de colaboración en la Institución,Procesos de selección de personal de colaboración,(Número de procesos de selección del personal de colaboración en calidad contrata realizados /total de contrataciones  consideradas en el plan anual)*100,70%,reporte seguimiento plan anual de contratación /Decreto que aprueba las Bases del llamado a Concurso,,,,,Liderar y articular las gestiones para la generación y/o provisión de cargos y/o contrataciones de académicos y académicas en la Institución,Procesos de selección de personal académico,(Número de procesos de selección académicos en calidad contrata realizados /total de contrataciones  consideradas en el plan anual)*100,75%,reporte seguimiento plan anual de contratación /Decreto que aprueba las Bases del llamado a Concurso,,,,,Gestionar las contrataciones del personal en calidad de honorarios en la Institución.,Procesos de contratación de personal a honorarios ,Número de convenios tramitados/total de solicitudes de convenio correctamente remitidas*100,90%,PLANILLA HONORARIOS/ DECRETOS SIAPER ,,,,,Inducción y presentación del personal de planta y contrata,Proceso de inducción al nuevo personal que ingrese a la Universidad así como su presentación a la comunidad universitaria en trabajo coordinado con Unidad de Comunicaciones,Publicación mensual del personal ingresado en mes anterior,6,Correo citación a inducción         Publicación a través de correo electrónico presentando al personal ,,,,,,,,,,,,,,,,Diseño de un Programa de Contrataciones anual en función a planificación institucional 2022,"Debe considerar contrataciones en las diversas calidades (contrata, honorarios, etc.).Debe establecer plazos estimados (en meses) para realizar las distintas contrataciones, que permitan organizar los esfuerzos necesarios y la preparación oportuna de bases.En el caso de honorarios, se considera de forma exclusiva personal de colaboración y docentes colaboradores.Debe ser consistente con la planificación del periodo, el presupuesto definido y las capacidades asociadas",mar-22,Evaluación del proceso de tramitación de convenios de honorarios,Evaluar el proceso de tramitación de convenios de honorarios aplicado a solicitantes y colaboradores honorarios.,jul-22,,,,,,,,,,,,,,,,,,,,,,Reporte de ejecución plan anual de contratación,solo se considerarán los procesos que sean aprobados  en el plan anual de contratación,Solo se considerarán los decretos que aprueben las bases de provisión y publicación de concurso,,,,Programa Anual de contrataciones,considerara las contrataciones autorizadas en el programa presupuestario 2022 en calidad de contrata,no considera la contratación de personas con financiamiento a través del proyecto proyecto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-10,FIN,Entrega soporte financiero a proyectos con financiamiento interno y externo.,"Brindar soporte financiero a los diversos proyectos de la institución (investigación, fortalecimiento, etc.) que permitan su correcto seguimiento y operación, asegurando con ello el uso eficiente de los recursos, aportando a la sustentabilidad financiera de la institución en el mediano y largo plazo.",Misional, $- ,SI,Conciliar la información contable con la información financiera contenida en las rendiciones de los diversos proyectos.,Porcentaje de cumplimiento de conciliaciones contables de proyectos,(Número de proyectos conciliados / total proyectos vigentes)*100,90%,Planilla con detalle de conciliaciones realizadas para los proyectos,,,,,Proveer mensualmente la información contable para la gestión de las rendiciones que debe realizar la unidad técnica responsable del proyecto,Porcentaje de cumplimiento en el envío de la información sobre proyectos,Proyectos con sus respaldos enviados / total proyectos con información por enviar,1,Registro de respaldos sobre gastos e ingresos de proyectos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorporado el seguimiento presupuestario de proyectos ministeriales según la clasificación del Decreto 180,"Se incorpora al seguimiento presupuestario institucional, la información detallada de gastos e inversiones de proyectos ministeriales con el objetivo de analizar por tipo de cuenta el avance de gasto,  para utilizar eficientemente los recursos financieros disponibles y aportar con ello a la sustentabilidad institucional",abr-22,,,,,,,,,,,,,,,,,,,,,,,,,Carpetas de gastos actualizadas,Proporciona información mensual y respaldo de los gastos ejecutados por proyectos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-11,FIN,Desarrollo de mecanismos orientados a la gestión presupuestaria universitaria,"Analizar, gestionar y proporcionar información presupuestaria que aporte al logro de los objetivos institucionales, con especial énfasis en el equilibrio presupuestario, el uso eficiente de los recursos, con el objetivo de asegurar la sustentabilidad financiera de la organización ",Misional, $- ,SI,Evaluar disponibilidad y registrar lo compromisos presupuestarios que respaldan los gastos e inversiones solicitados.,Porcentaje de compromiso presupuestario registrados planilla de compromisos,(Número de Registros con compromiso presupuestario / Número de solicitudes de gasto/inversión )* 100,100%,Planilla de compromiso presupuestario vigente,,,,,Emitir mensualmente informes de ejecución y compromiso presupuestario,Informes de ejecución emitidos,Cantidad de informes de ejecución presupuestaria (marzo a dic),10,Informe de ejecución presupuestaria mensual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Presupuesto 2022 aprobado por Consejo Superior,Detalle de recursos aprobados por Consejo Superior de acuerdo a decreto 180,ene-22,Publicación de balance de ejecución presupuestaria 2021,Publicación de balance presupuestario aprobado en diario de circulación regional según directrices del decreto 180,jun-22,Evaluación del proceso de formulación presupuestaria,Se aplicará encuesta de evaluación del proceso con actores institucionales,abr-22,,,,,,,,,,,,,,,,,,,Informe mensual de ejecución presupuestaria difundido,"informe que reporta el gasto y compromiso mensual por dirección y departamento, separando los recursos asociados al presupuesto y a proyectos.",,,,,Registro de CDP,Permite hacer seguimiento a los recursos comprometidos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-12,INSG,Servicios generales para académicos/as y funcionarios/as de la Institución.,Realizar diversos servicios que permitan la operación básica y diaria de los equipos en términos logísticos.,Misional," $700,000 ",,"Realizar traslados de equipamiento y otros bienes de uso de los funcionarios, académicos y estudiantes entre sedes universitarias.",Traslado de bienes de uso,Número de traslados de bienes de uso realizados en sedes universitarias.,65,Planilla de servicios generales,,,,,Realizar trámites fuera de la institución en soporte a las actividades administrativas del personal.,Tramites externos,Número de trámites externos realizados en apoyo al personal de colaboración.,80,Bitácora de servicios generales,,,,,Dar soporte logístico al desarrollo de actividades en la institución.,Satisfacción con servicios generales realizados,Porcentaje de encuestas de percepción sobre servicios generales efectuados que tienen resultados satisfactorios.,90 %,Informe con resultado de encuestas de satisfacción de servicios generales,,,,,"Trasladar estudiantes, académicos y personal de colaboración en el marco del desarrollo de sus actividades.",Traslados realizados,Número de salidas de traslado efectuadas,60,Planilla de servicios generales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-13,INSG,Mantención y supervisión de condiciones de las instalaciones Universitarias.,"Gestionar e implementar mantenciones de diverso tipo sobre las condiciones de las instalaciones de la Universidad, que permitan su desarrollo en condiciones operativas apropiadas.",Misional," $1,187,737,000 ",SI,"Realizar mantenciones menores a las instalaciones (canaletas, pintura, reparaciones menores, etc.)",Reparaciones menores efectuadas,Número de reparaciones menores efectuadas a las instalaciones universitarias.,10,Bitácora de servicios generales,,,,,"Realizar mantenciones mayores a las instalaciones (sistema de calefacción, eléctrico, etc.)",Reparaciones mayores efectuadas,Número de reparaciones mayores efectuadas a las instalaciones universitarias.,2,Decretos de recepción de obras con informe técnico adjuntos,,,,,Inspeccionar y asegurar las condiciones sanitarias ambientales básicas en las instalaciones (Decreto supremo 594),Inspecciones sobre condiciones sanitarias ambientales,Número de inspecciones sobre condiciones sanitarias ambientales realizadas en las instalaciones universitarias.,2,Informes de inspecciones sanitarias ambientales,,,,,,,,,,,,,,,,,,,,,,,,,Realizada la reparación casa Reserva Nacional Coyhaique,Se realizará obras de habilitación y conservación de casa CONAF ,jun-22,Realizada la mantención y reparación del Centro del Visitante Cerro Castillo,"Mantención fachada, filtraciones, sistema eléctrico y calefacción",01/06/2022,Construcción laboratorios y oficinas modulares ,Se construirá laboratorios y oficinas modulares en campus Río Simpson,jun-22,,,,,,,,,,,,,,,,,,,,,,,,,Decreto de Recepción de Obras,Decreto de Adjudicación,Decreto de Término de Obra,,,Decreto de Recepción de obras,Decreto de adjudicación,Informes avance de obra IFO,Decreto término de obra ,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-14,DP,Sistematización de procesos críticos para la gestión de personas.,Normalización del procesos de gestión de la Unidad de Desarrollo de Personas  la  de levantamiento de perfiles de cargo,Misional, $- ,,Perfiles de Cargo,Normalizar el proceso de levantamiento y actualización de perfiles de cargo,Proceso normalizado,1,Ficha de caracterizaciónManual de procedimientoDiagrama de FlujoFicha de riesgos y oportunidadesFicha de Validación Proceso,,,,,"Proceso de ingreso de registro, justificaciones de inasistencia etc.",Registro de Asistencia,Proceso normalizado,1,Ficha de caracterizaciónManual de procedimientoDiagrama de FlujoFicha de riesgos y oportunidadesFicha de Validación Proceso,,,,,Proceso de Capacitación del Personal de Colaboración,Normalizar el proceso de capacitación del personal de colaboración de la Universidad de Aysén,Proceso normalizado,1,Ficha de caracterizaciónManual de procedimientoDiagrama de FlujoFicha de riesgos y oportunidadesFicha de Validación Proceso,,,,,Feriado Legal,Normalizar el procedimiento de tramitación de feriado legal de los funcionarios de la Universidad de Aysén,Proceso normalizado,1,Ficha de caracterizaciónManual de procedimientoDiagrama de FlujoFicha de riesgos y oportunidadesFicha de Validación Proceso,Horas compensatorias,Normalizar el procedimiento de tramitación de horas compensatorias de los funcionarios de la Universidad de Aysén,Proceso normalizado,1,Ficha de caracterizaciónManual de procedimientoDiagrama de FlujoFicha de riesgos y oportunidadesFicha de Validación Proceso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-15,DP,Despliegue de mecanismos para el perfeccionamiento del personal de colaboración universitario,"Implementar mecanismos,  que permitan identificar necesidades de capacitación y perfeccionamiento del personal de colaboración universitario y que regulen el proceso y procedimientos de capacitación ",Desarrollo," $10,000,000 ",,"Implementar mecanismos, que permitan identificar necesidades de capacitación y perfeccionamiento del personal de colaboración universitario",Plan Anual de Capacitación,Encuesta de Detección de Necesidades de Capacitación levantadas en cada Dirección en el año en curso,1,DUE que aprueba el Reglamento de Capacitación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan Anual de Capacitación y perfeccionamiento para el personal de colaboración,La comisión a cargo levantara el PAC institucional para el personal de colaboración,abr-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-16,DP,Rediseño de la estructura salarial de la Universidad.,Disponer de criterios que permitan realizar ajustes a nuestro sistema remuneracional de académicos y personal de colaboración,Desarrollo, $- ,,Instalar trabajo de Comisión de Estructura salarial,Estructura salarial del sistema remuneratorio actualizada,(Número  de reuniones realizadas por la Comisión/Número de reuniones comisión estructura salarial convocadas )*100,1,DUE que aprueba la estructura salarial del sistema de remuneraciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Propuesta de nuevas asignaciones de remuneraciones 2022,Se dispondrá de una propuesta de asignaciones de remuneraciones para el personal de colaboración y académicos,mar-22,Propuesta de criterios para el encasillamiento a la dotación de planta institucional,"Se dispondrá de una propuesta de criterios para el encasillamiento a la dotación de planta institucional, conforme a lo que concluya la comisión definida para estos fines",dic-22,Propuesta de criterios para la asignación de grados de nuevos funcionarios y académicos,Se espera disponer de un mecanismo que contemple criterios para la asignación del grado de procesos de concurso o contratación directa de nuevos funcionarios,may-22,,,,,,,,,,,,,,,,,,,Decreto de Remuneraciones 2022,que considere las asignaciones de remuneraciones vigentes para el año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-17,DP,Despliegue de capacidades para el desarrollo del área de Bienestar.,Implementar e instalar el Servicio de Bienestar en la Universidad de Aysén,Desarrollo, $- ,,"Reglamento de servicio de Bienestar que contextualice la oferta de servicios, beneficios y convenios asociados",Propuesta de Reglamento de Servicio de Bienestar de la Universidad de Aysén que debe incluir presupuesto institucional inIcial definido según la normativa vigente,Propuesta de Reglamento ,1,Reglamento Presentado ante la Superintendencia de Seguridad Social SUSESO,,,,,Implementar Protocolo de Vigilancia de Riesgos Psicosociales en el Trabajo,Aplicación de instrumento de Medición del riesgo psicosocial laboral al interior de la institución,Porcentaje de encuestas respondidas por  personal  de la Universidad de Aysén,60%,Informe resultados Cuestionario SUSESO/ISTAS 21,,,,,Implementación plan de medidas a por dimensiones en riesgo,Plan de medidas,total de medidas implementadas en el primer año/total medidas del plan*100,25%,Actas y otros validadores que den cuentas de las acciones desarrolladas,,,,,,,,,,,,,,,,,,,,,,,,,Aplicado Protocolo de Vigilancia de Riesgos Psicosociales en el Trabajo,Debe identificar la presencia y nivel de exposición a riesgospsicosociales al interior de la Universidad,dic-22,,,,,,,,,,,,,,,,,,,,,,,,,Especificación técnica sobre requerimientos para implementación protocolo,Actas u otros validadores que den cuenta de la articulación entre metodología SUSESO/ISTAS21 y propuesta por parte de DPAC-AI en materia de gobierno de datos,,,,,Evidencias del cumplimiento de cada una de las etapas de la metodología SUSESO/ISTAS21,"Actas de constitución del Comité de Aplicación y las actas de todas las reuniones realizadas por este Comité, además de las piezas gráficas u otros soportes utilizados en la campaña de difusión y sensibilización",,,,Informe de resultados cuestionario SUSESO/ISTAS21,"Informe de resultados de la evaluación, carta gantt de intervención, programa de trabajo para la gestión de los riesgos identificados, respaldo de las asesorías por parte del OAL",,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-18,ADQ,"Fortalecer el conocimiento  en el área de gestión pública  principalmente en materia de Compras,  para avanzar en implementación de procesos institucionales en la materias relacionada con la Universidad","Implementar diversos mecanismos para el área de adquisiciones, al alero de procesos establecidos institucionalmente, que permitan su apropiada operacionalización.",Desarrollo," $1,000,000 ",,"Desarrollar jornadas de capacitación interna en materia de Compras públicas , probidad y ley del Lobby","Jornada de trabajo y evaluación de  proceso de compras públicas en la Universidad con profesionales y representantes de los Departamentos, Direcciones y Unidades que deben gestionar procesos de contratación de forma habitual",Número de jornadas realizadas en el año 2022,2,"Acta de reunión, fotografías de la actividad, listado de asistencia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manual de Adquisiciones, socializado","en el marco de la mejora continua se aplicará encuesta de evaluación del proceso de socialización del Nuevo Manual de Adquisiciones, instrumento se aplicará a nivel institucional",may-22,Gestionadas capacitaciones en materia de comercio exterior para adquisiciones institucionales.,Actas de capacitación,jul-22,Asesoría procesos de abastecimientos,Implementar planillas digitales de control de abastecimiento y de procesos de contratación,mar-22,,,,,,,,,,,,,,,,,,,reporte resultado de aplicación de la encuesta socialización del manual de Adquisiciones,se realizará en google forms,,,,,Decreto que autoriza ejecución y participación en Capacitación Comercio exterior ,"Se considerará funcionarios de la Unidad de Adquisiciones, Secretaria General y Contraloría Universitaria",,,,planillas implementadas proceso de Asesoría,la implementación de las planillas considerarán periodo 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-19,ADQ,Modernización de solicitudes de compras,"Implementar un sistema de información, al alero de procesos institucionales normalizados, que permitan mejorar su eficiencia y dar soporte a su gestión de información",Desarrollo, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desarrolla Anteproyecto de Sistema de información aplicado a la solicitud de compra,Se desarrollará el anteproyecto que permita contratar el ERP o sistema de información asociado,jun-22,Implementado Sistema de información o ERP asociado a la gestión de solicitudes de compra,Se debe implementar el sistema de información o ERP necesario para que las unidades realicen sus requerimientos de compra,dic-22,,,,,,,,,,,,,,,,,,,,,,Anteproyecto de proceso de Adquisiciones ,se considera el informe final entregado por el proveedor que desarrollará el anteproyecto,,,,,Sistema de información de adquisiciones implementado,se considera desde su puesta en marcha blanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-2,DP,Desarrollar Mecanismos que optimicen el proceso de pago de los  colaboradores a honorarios,Implementar procedimientos conducentes a proveer el pago de honorarios según el marco normativo vigente.,Misional," $50,000,000 ",,Gestionar y tramitar oportunamente la documentación para pago de los colaboradores a honorarios,difusión calendario de recepción de los documentos de colaboradores a honorarios en la Unidad de Desarrollo de Personas,(Número de colaboradores a honorarios notificados con el calendario de pago/Número de colaboradores a honorarios contratados en el año 2022)*100,80%,Oficio que deriva instructivo al colaborador,,,,,Calendarización de la derivación a Unidad de Finanzas de documentos para  el pago de servicios por productos prestados por el personal a honorarios.,Calendario de derivación de documentos a Unidad de Finanzas para el pago del personal a honorarios de la Institución,Números de solicitudes correctamente emitidas derivadas para pago honorarios/ número de solicitudes recibidas a pago *100,80%,libro de pago honorarios en carpeta drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-20,FIN,Definición de un plan estratégico financiero orientados a la gestión de los RRFF institucionales y a su proyección sustentable en el tiempo,"Desarrollar un plan  de acción es áreas estrategica del ambito financiero, que conlleven a un equilibrio entre ingreso/gasto/acción misional y de desarrollo universitario y que garantice la sustentabilidad y sostenibilidad financiera de la institución , tanto en el corto como en el largo plazo",Desarrollo," $400,000 ",SI,"Elaborar un Plan Estratégico Financiero a 5 años que considere líneas de acción asociadas a análisis financiero, proyecciones presupuestarias, análisis de costos, gestión de ingresos, promoción de la cultura y riesgo financiero en la institución, Estrategias de financiamiento externo, evaluación y difusión de resultados; y automatización de procesos",Plan estratégico aprobado,(Número plan estratégico aprobado/Número plan estratégico a aprobar)*100,100%,Decreto aprobatorio del plan estratégico financiero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ejecución Plan Estratégico 2022,Cumplimiento de actividades contempladas en la carta Gantt para 2022,dic-22,,,,,,,,,,,,,,,,,,,,,,,,,acciones 2022 ejecutadas ,respaldo de productos y acciones contempladas en carta gantt para 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-21,FIN,"Instalación de capacidades institucionales para evaluar factibilidad financiera de los programas de pregrado,  aportando con ello a la sustentabilidad financiera de la Universidad","Desarrollar habilidades, conocimiento y mecanismos institucionales orientados a la valorización de ingresos y costo de las carreras de pregrado, postgrado y educación continua, promoviendo el uso equilibrado y eficiente de los recursos.",Desarrollo, $- ,SI,Definir una metodología de costeo institucional de las carreras de pregrado,Metodología de costeo de carreras aprobada,(Número Metodología de costeo de carreras aprobada/ Número metodologías de carreras a aprobar)*100,100%,Decreto aprobatorio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costo de carrera 2021,Determinación del costo de carreras con datos 2021,jun-22,,,,,,,,,,,,,,,,,,,,,,,,,Informe de costo,Informe con detalle de costo 2021 de las carreras vigentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-22,FIN,"Implementación de Plan de cuentas SES-CGR, orientado a la estandarización de los procesos contables en el ámbito universitario nacional","Desarrollar las acciones necesarias para asegurar la correcta implementación del nuevo plan de cuentas SES - CGR que rige del 1 de enero 2023, cambios normativos del ámbito financiero-contable obligatorias para las instituciones de Educación Superior ",Desarrollo," $1,000,000 ",,Desarrollar las acciones definidas en carta Gantt de implementación,Ejecución de acciones de implementación,(Número de acciones ejecutadas/Número de acciones planificadas)*100,100%,Informe final de ejecución de acciones del Plan de Cuentas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan de cuentas SES-CGR  implementado y validado,Ejecutar acciones para que el PLan de Cuentas este operativo en nuestro sistema,dic-22,,,,,,,,,,,,,,,,,,,,,,,,,Informe de ejecución de acciones del plan de implementación,informe descriptivo de acciones y registros de cumplimiento,,,,,Informe de consultora ,Informe final de consultoría que  certifica el proceso de modificación de plan financiero contable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-23,INSG,Construcción del Edificio Aulario de la Universidad - Primera Etapa Campus Río Coyhaique,"Ejercer el rol institucional de gestión del proyecto, realizando seguimiento permanente de su avance para asegurar el éxito en los plazos establecidos",Desarrollo," $1,800,000,000 ",SI,Control y Gestión de Obra,Actas Seguimiento de Obra,Número de actas de seguimiento de obra,10,Actas de reuniones mensuales de avance de obra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programa de Trabajo,,oct-22,Realizada la difusión de avance del 2° semestre a comunidad universitaria,,dic-22,Adjudicación del proyecto Edificio Aulario,Se logra adjudicar el contrato con la empresa que disponga de los mejores términos de oferta,jun-22,,,,,,,,,,,,,,,,,,,Carta Gantt con ruta crítica y gestión de contingencia,,,,,,Actas de difusión con comunidad universitaria,Un acta por sesión de difusión/grupo,Se debe indicar las características del grupo al cual se hace difusión y registrar listado de asistencia,Acta debe indicar contenidos a los cuales se hace difusión en la sesión,,Decreto de Adjudicación,Decreto firmado y con toma de razón de Contraloría Regional,Incorporar registro visual de las instancias,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-24,INSG,Diseño del Proyecto Infraestructura Fundacional - Segunda Etapa Campus Río Coyhaique,"Ejercer el rol institucional de gestión del proyecto, coordinando el avance del cronograma definido en las bases adjudicadas",Desarrollo, $- ,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completada la Etapa 4 - Obtención Permiso de Edificación,,dic-22,Completada la Etapa 5 - Sistema Nacional de Inversión y SEA,,dic-22,Obtener recomendación técnica económica RS proyecto,Se logra recomendación técnica económica RS por parte del Ministerio de Desarrollo Social,jul-22,,,,,,,,,,,,,,,,,,,Obtención Permiso de Edificación por parte de la Dirección de Obras Municipales,Documento Emitido por la Municipalidad de Coyhaique,,,,,Obtención de la Resolución de Calificación Ambiental,Documento emitido por el SEA,,,,Obtención de Recomendación Favorable para Ejecución en el Sistema Nacional de Inversión,Obtención del RS en el SNI,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-25,INSG,Sistema para la gestión y priorización de requerimientos de la Infraestructura Institucional,"Instalar un sistema de gestión para proyectar y valorizar el Plan Maestro, con sello UAysén, que en sintonía con la planificación y la coordinación institucional coordine las necesidades de infraestructura, las priorice de forma flexible y entregue insumos para generar un Plan de Inversión coherente",Desarrollo, $- ,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jornada Anual de Requerimientos de Infraestructura,,oct-22,Cartera de proyectos anual aprobada,,dic-22,Plan Operativo Anual,,dic-22,,,,,,,,,,,,,,,,,,,Fichas de Requerimientos de Infraestructura,Ficha firmada por el Jefe del departamento o Director requirente,,,,,,Decreto que aprueba las iniciativas,,,,,Carta PERT,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-26,INSG,Directrices y mecanismos para la gestión de riesgos y seguridad,Implementar mecanismos fundacionales para la institución en materia de gestión de riesgo y seguridad.,Desarrollo, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diseñar y validar mecanismos para la gestión de la seguridad y la salud en el trabajo.,Índice de mecanismos para la gestión de la seguridad y la salud.,mar-22,Diseñar y validar mecanismos para la gestión de emergencias y desastres.,Índice de mecanismos para la gestión de emergencias y desastres.,may-22,"Diseñar y validar mecanismos para normar el orden, higiene y seguridad.",,jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,DAF-3,DP,Calificación de desempeño del personal de colaboración de la Universidad,"Desplegar mecanismos de preparación y difusión sobre el proceso de calificación de desempeño del personal, permitiendo avanzar a su operacionalización durante el 2022",Desarrollo, $- ,,Difundir el calendario del proceso,Socialización de calendario y etapas de proceso calificatorio del desempeño de los funcionarios/as de la Universidad de Aysén,Número de publicaciones y/o reuniones de difusión,3,Convocatoria a reuniones de difusión y/o publicaciones del proceso,,,,,Capacitar a evaluadores y miembros de la Junta Calificadora,Proceso de inducción y capacitación  de actores relacionados con el proceso de calificación (jefaturas y Junta Calificadora),número de reuniones de capacitación realizadas,2,Registro de asistencia y/o correos electrónicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,precalificación,Propuesta final de evaluación por parte de la jefatura y que será considerada como base de calificación por parte de la Junta Calificadora,oct-22,capacitación Junta Calificadora,Capacitar a los miembros de la Junta Calificadora del proceso calificatorio ,sep-22,Calificación del personal de calificación,"El sistema de Calificación del Desempeño contribuye , a través de su evaluación de la calidad del desempeño y obtención de los resultados que son de responsabilidad de las personas en relación con el rol asignado en el trabajo",nov-22,,,,,,,,,,,,,,,,,,,Reporte con detalle de evaluaciones remitidas por las jefaturas,Se ingresará el conteo de las evaluaciones recibidas. No las notas ingresadas,,,,, Capacitación Junta Calificadora,Se considerará la convocatoria realizada a los integrantes de la Junta Calificadora,El porcentaje de concurrencia no altera el resultado por ser un decreto en conocimiento y deber de conocer por la comunidad universitaria,,,Notificación de la Junta Calificadora,Citación del personal para entrega de su notificación de calificación,Para efectos verificación se considerará sólo las notificaciones firmadas presencialmente,,,,,,,,,,,,,,,,,,,,,,,,,,
